Counter_Location_Description,Latitude,Longitude,Log_Timstamp,Total_Pedestrian_Count,Total_Cyclist_Count
Woodward Trail / Wolf Willow (EBD into River Valley/WBD out of River Valley),53.4938,-113.59727,30-Sep-21,281,169
Hermitage South,53.578605,-113.37223,7-Feb-22,127,0
103A Avenue W of 96 Street,53.5473265,-113.4842106,18-May-20,290,90
Rossdale SUP,53.52781,-113.49539,17-Dec-21,265,59
LRT SUP East of 92 Street,53.55645536,-113.4749465,18-Mar-19,180,155
High Level Bridge East,53.53249552,-113.5095117,5-Sep-22,519,183
83 Avenue W 106 Street,53.51911,-113.50441,5-Jul-21,0,905
High Level Bridge East,53.53249552,-113.5095117,15-Apr-19,292,197
Queen Elizabeth Park 2,53.52457,-113.49748,23-Sep-21,327,0
106 Street N of 76 Avenue NB,53.51304,-113.50381,5-Jul-20,0,262
76 Avenue W of 106 Street WB,53.51234,-113.50485,29-Jan-22,0,8
Whitemud Ravine Boardwalk,53.476847,-113.555595,2-Aug-20,1055,0
127 Street N of 107 Avenue,53.55149,-113.54119,9-Nov-21,0,86
106 Street N of 76 Avenue NB,53.51304,-113.50381,6-Jan-23,0,40
East Trails,53.604,-113.31977,27-Dec-21,0,2
103A Avenue W of 96 Street,53.5473265,-113.4842106,3-Sep-18,358,43
102 Avenue E of 105 Street,53.54297512,-113.5003897,26-Jan-19,0,43
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,12-Dec-18,192,79
106 Street N of Jasper Avenue,53.54171422,-113.5030261,15-Jun-22,0,92
127 Street N of 107 Avenue,53.55149,-113.54119,31-Mar-22,0,90
76 Avenue W of 106 Street WB,53.51234,-113.50485,23-Jun-21,0,178
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,1-Feb-20,76,29
106 Street N of 76 Avenue SB,53.51306,-113.50389,5-Sep-21,0,227
83 Avenue W 106 Street,53.51911,-113.50441,5-Jul-20,0,646
106 Street S of 104 Avenue,53.54519216,-113.5030336,12-Sep-21,0,23
103A Avenue W of 96 Street,53.5473265,-113.4842106,24-Apr-19,1163,114
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,13-Mar-20,120,44
Buena Vista Bridge,53.52139,-113.54829,23-Sep-21,557,352
100 Avenue E of 107 Street,53.53885088,-113.5035117,23-Apr-21,0,198
East Trails,53.604,-113.31977,19-Jan-22,0,0
Capilano Bridge,53.561355,-113.420088,19-Jul-22,470,0
Queen Elizabeth Park 2,53.52457,-113.49748,22-Dec-21,83,0
83 Avenue W of 99 Street,53.51907,-113.48717,12-Sep-19,0,1225
Gold Bar Trail,53.554767,-113.401458,17-May-22,350,284
LRT SUP East of 92 Street,53.55645536,-113.4749465,20-Sep-22,103,213
106 Street N of 76 Avenue NB,53.51304,-113.50381,6-Apr-20,0,34
106 Street N of Jasper Avenue,53.54171422,-113.5030261,13-Aug-19,0,247
Capilano Bridge,53.561355,-113.420088,21-Oct-22,219,0
121 Street SUP N of 107 Avenue,53.55131,-113.53093,24-May-21,247,103
76 Avenue W of 106 Street EB,53.51221,-113.50486,19-Apr-22,0,19
102A Avenue W of 96 Street,53.54541049,-113.4834711,20-Aug-20,0,238
103A Avenue W of 96 Street,53.5473265,-113.4842106,3-Jul-19,1178,177
76 Avenue W of 106 Street WB,53.51234,-113.50485,14-Mar-22,0,11
103 Street N of 100 Avenue,53.53912407,-113.4975386,29-Nov-18,0,76
LRT SUP East of 92 Street,53.55645536,-113.4749465,26-Sep-21,406,175
106 Street N of Jasper Avenue,53.54171422,-113.5030261,2-Sep-21,0,127
83 Avenue W 106 Street,53.51911,-113.50441,26-Nov-20,0,146
121 Street SUP N of 107 Avenue,53.55131,-113.53093,18-Feb-22,126,29
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,4-Feb-20,72,156
Sir Wilfrid Laurier Park,53.51167,-113.54897,6-Mar-22,372,0
105 Avenue W of 101 Street,53.54767204,-113.4945246,15-Jan-23,132,5
106 Street N of 76 Avenue SB,53.51306,-113.50389,27-Jun-22,0,228
105 Avenue W of 109 Street,53.54829907,-113.5094746,25-Jun-21,0,0
102 Avenue E of 105 Street,53.54297512,-113.5003897,16-Jun-20,0,89
106 Street N of Jasper Avenue,53.54171422,-113.5030261,12-Jan-23,0,31
100 Avenue E of 107 Street,53.53885088,-113.5035117,24-Jul-21,0,573
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,10-Jul-21,840,536
102A Avenue W of 96 Street,53.54541049,-113.4834711,1-Sep-22,0,282
East Trails,53.604,-113.31977,29-Mar-22,21,66
Gold Bar Trail,53.554767,-113.401458,6-Dec-21,132,11
100 Avenue E of 107 Street,53.53885088,-113.5035117,18-Dec-19,0,163
103 Street N of 102 Avenue,53.54360589,-113.4974978,19-Aug-18,0,105
105 Avenue W of 101 Street,53.54767204,-113.4945246,24-Jan-23,209,22
102A Avenue W of 96 Street,53.54541049,-113.4834711,19-Jun-22,0,170
99 Street N of 102A Avenue,53.54537031,-113.4893957,3-Sep-19,0,148
96 Street S of Jasper Ave,53.54312877,-113.4819533,3-Apr-22,0,13
102A Avenue W of 96 Street,53.54541049,-113.4834711,26-May-19,0,191
103 Street N of 102 Avenue,53.54360589,-113.4974978,29-Jan-22,0,24
Emily Murphy,53.532383,-113.531662,27-Jul-22,451,0
106 Street S of 104 Avenue,53.54519216,-113.5030336,25-Jun-20,0,135
Queen Elizabeth Park,53.52595,-113.50289,6-Dec-21,6,81
102A Avenue W of 96 Street,53.54541049,-113.4834711,4-Jun-22,0,176
106 Street N of Jasper Avenue,53.54171422,-113.5030261,2-Feb-20,0,3
76 Avenue W of 106 Street WB,53.51234,-113.50485,18-Feb-23,0,11
High Level Bridge East,53.53249552,-113.5095117,1-Oct-20,534,318
Capilano Bridge,53.561355,-113.420088,8-Feb-22,175,0
High Level Bridge West,53.53277648,-113.5099417,20-Feb-23,0,0
103A Avenue W of 96 Street,53.5473265,-113.4842106,17-Aug-18,1112,150
106 Street N of 76 Avenue NB,53.51304,-113.50381,5-Mar-22,0,8
127 Street N of 107 Avenue,53.55149,-113.54119,2-Mar-20,0,43
103 Street N of 100 Avenue,53.53912407,-113.4975386,13-Oct-22,0,147
96 Street S of Jasper Ave,53.54312877,-113.4819533,10-May-22,0,19
Queen Elizabeth Park 2,53.52457,-113.49748,17-Jan-23,87,0
